time,stat_count,prcp_mean,prcp_std,prcp_min,prcp_25%,prcp_50%,prcp_75%,prcp_max,tmin_mean,tmin_std,tmin_min,tmin_25%,tmin_50%,tmin_75%,tmin_max,tmax_mean,tmax_std,tmax_min,tmax_25%,tmax_50%,tmax_75%,tmax_max,srad_mean,srad_std,srad_min,srad_25%,srad_50%,srad_75%,srad_max,swe_mean,swe_std,swe_min,swe_25%,swe_50%,swe_75%,swe_max,vp_mean,vp_std,vp_min,vp_25%,vp_50%,vp_75%,vp_max,id,year,state,stage,commodity,plan,colc,month,quantity,cpi_indemnity,per_indemnity
31.0,1027.0,3.716027263875365,0.7091371024387154,2.2,3.23,3.68,4.19,5.09,-11.279493670886076,0.3105267120515158,-11.83,-11.53,-11.28,-11.04,-10.07,5.3212074001947425,0.6918908625752799,3.69,4.69,5.47,5.96,6.4,184.85056475170398,1.9528172462659803,176.68,183.65,185.06,186.19,188.33,5.472775073028237,0.9048728767306257,3.93,4.79,5.38,6.17,7.5,258.2687049659201,6.449382065206444,247.02,252.995,258.1,263.25,284.26,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
32.0,1027.0,0.9124342745861733,0.22725524355819088,0.57,0.75,0.86,1.02,1.62,-8.78763388510224,0.46714610954346797,-9.63,-9.24,-8.68,-8.38,-7.86,-4.275238558909445,0.42960975146142505,-5.24,-4.6,-4.1,-3.92,-3.26,123.53249269717625,19.928622089366694,82.71,105.23,126.59,143.335,152.57,6.385365141187926,1.1028546770389636,4.55,5.59,6.25,7.215,9.05,314.7482083739046,11.478367784723245,294.34,303.66,317.28,324.78999999999996,338.24,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
33.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.102502434274587,0.34493108719872717,-13.98,-13.32,-13.1,-12.87,-11.78,-7.667254138266797,0.3264855934925748,-8.33,-7.91,-7.63,-7.43,-6.33,149.1948393378773,9.824758926380428,132.16,140.36,148.08,158.14,169.72,6.385365141187926,1.1028546770389636,4.55,5.59,6.25,7.215,9.05,222.9375365141188,6.248058463922789,207.45,218.985,222.96,227.09,248.01,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
34.0,1027.0,0.6827945472249269,0.11851369850937418,0.35,0.63,0.68,0.75,1.04,-12.48632911392405,0.19044131767315983,-13.02,-12.57,-12.46,-12.36,-11.52,-0.8666504381694254,0.22733492288056786,-1.54,-0.99,-0.84,-0.72,-0.47,228.9421811100292,2.7373862254501335,214.11,227.735,229.39,230.965,233.01,7.067955209347615,1.1776711192214786,4.9,6.24,6.97,8.0,9.73,234.30987341772155,3.605913742948262,224.41,232.74,234.73,236.715,253.3,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
35.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.545141187926,0.25085012286245345,-13.26,-12.72,-12.5,-12.34,-12.07,-6.735501460564752,0.4207065169906577,-7.65,-7.04,-6.72,-6.38,-5.48,152.4975365141188,12.923774934020065,128.89,141.94,151.92,163.25,179.13,7.067955209347615,1.1776711192214786,4.9,6.24,6.97,8.0,9.73,233.21777020447905,4.715017502873737,220.08,229.85,233.95,237.13,242.32,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
36.0,1027.0,0.5863096397273613,0.6767710240838709,0.0,0.0,0.44,0.815,2.35,-17.424849074975658,0.2085886192778112,-17.91,-17.56,-17.43,-17.3,-16.27,-7.4311197663096396,0.1522790230029368,-7.85,-7.52,-7.43,-7.32,-6.72,209.79893865628043,14.61949715347966,153.94,212.5,214.24,215.04500000000002,217.43,7.654216163583253,1.6392259274843477,4.9,6.56,7.47,8.405000000000001,11.97,155.70480038948395,2.7591142662439476,149.38,153.95499999999998,155.66,157.39,171.62,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
37.0,1027.0,8.670740019474197,0.9884825225827027,5.65,7.885,8.79,9.41,10.49,-12.851041869522883,0.3094662845709849,-13.77,-13.0,-12.85,-12.66,-11.55,-3.6633106134371953,0.22122365684807177,-4.28,-3.795,-3.62,-3.5,-3.27,151.09474196689388,4.551788201895325,137.91,148.2,151.6,154.075,160.69,16.324858812074,0.8968007109354121,13.06,15.795,16.21,16.63,18.92,227.52694255111976,5.705415128892261,211.02,224.73,227.56,231.02,252.61,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
38.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.64898734177215,0.5944897617601713,-11.26,-10.1,-9.44,-9.17,-8.79,-6.389240506329114,0.29834306494457496,-7.05,-6.64,-6.4,-6.15,-5.74,87.3123563777994,19.57540904493133,56.69,70.195,83.96,106.79499999999999,123.76,16.324858812074,0.8968007109354121,13.06,15.795,16.21,16.63,18.92,294.2363583252191,13.608302962981698,258.61,283.65,298.91,305.38,314.49,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
39.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.691363193768257,0.22872877681183135,-19.22,-18.87,-18.69,-18.52,-17.56,-1.9878870496592016,0.43867747691242803,-2.92,-2.33,-2.04,-1.68,-0.59,240.24638753651413,1.5819636728271307,227.04,239.54,240.38,241.21,243.0,16.324858812074,0.8968007109354121,13.06,15.795,16.21,16.63,18.92,139.8022200584226,2.746884171089644,133.59,137.69,139.77,141.835,153.96,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
40.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.827361246348588,0.6393273976771738,-16.11,-15.35,-14.74,-14.21,-13.7,-5.171752677702045,0.6197355636007631,-6.54,-5.73,-5.09,-4.67,-4.14,200.4128140214216,3.350851186192237,188.29,197.83,200.28,202.985,206.95,16.324858812074,0.8968007109354121,13.06,15.795,16.21,16.63,18.92,193.69610516066214,10.181401488863383,173.86,185.265,194.85,203.595,212.26,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
